Designator,Mid X,Mid Y,Rotation,Layer
BT1,107.93,-63.49,0.0,bottom
C1,94.03,-49.57,0.0,top
C10,113.81,-55.71,90.0,top
C11,110.38,-55.58,90.0,top
C12,100.29,-55.89,90.0,top
C13,98.74,-55.89,90.0,top
C2,94.005,-56.545,180.0,top
C3,100.97,-65.725,270.0,top
C4,99.42,-65.704999,270.0,top
C5,120.06,-49.79,90.0,top
C6,100.06,-59.41,180.0,top
C8,115.39,-55.72,270.0,top
C9,117.62,-55.75,90.0,top
J1,107.93,-50.12,0.0,bottom
J2,131.7,-67.58,0.0,top
J3,131.7,-57.42,0.0,top
L1,98.83,-52.395,90.0,top
L2,97.06,-52.3025,90.0,top
R1,100.219999,-68.13,0.0,top
R101,108.755,-55.595,270.0,top
R103,90.46,-53.08,180.0,top
R11,101.88,-55.86,90.0,top
R12,106.18,-56.32,0.0,top
R13,105.37,-54.74,180.0,top
R2,114.69,-67.31,270.0,top
R3,112.01,-55.59,90.0,top
R4,91.605,-55.745,270.0,top
R5,94.005,-58.12,0.0,top
R6,93.97,-54.965,180.0,top
R8,121.23,-53.74,0.0,top
SW1,98.405,-79.12,180.0,top
SW2,117.68,-79.12,180.0,top
SW3,122.92,-49.819849,90.0,bottom
SW5,93.79,-47.2675,0.0,top
U1,108.1,-63.98,270.0,top
U101,94.0175,-52.295,0.0,top
Y1,100.21,-61.995,270.0,top
